mybot,          stockfish
-0.84,          0.27
-0.97,          1.08
-2.14,          3.24
-1.14,          4.35
-1.14,          7.38
-1.14,          3.38
-0.34,          6.68
0.62,          7.47
0.91,          6.67
2.82,          6.01
1.93,          6.01
0.67,          6.00
1.92,          6.19
1.88,          6.01
2.75,          6.40
2.74,          6.75
2.74,          6.92
4.84,          7.16
4.75,          7.20
5.6,          8.25
4.66,          8.26
3.6,          7.97
3.52,          7.72
3.52,          7.79
4.46,          7.94
4.46,          7.00
5.32,          7.00
5.36,          7.31
5.36,          7.19
3.44,          6.15
4.26,          6.76
3.6,          6.46
3.4,          6.95
3.36,          6.32
3.56,          7.08
5.44,          6.82
5.36,          6.88
3.44,          5.98
3.44,          6.29
3.36,          5.99
3.36,          6.06
2.46,          6.06
0.58,          0.00
-0.13,          0.00
0.36,          -0.03
0.63,          0.07
0.6 ,          0.06
0.5 ,          0.06
-1.2 ,          0.04
-1.22,          0.04
-1.19,          0.08
-1.22,          0.05
-1.27,          0.00
-2.16,          0.00
-2.17,          0.00
-2.21,          3.81
-6.39,          39.3
-6.39,          
-0.43,          
-0.43,          
-0.43,          
-0.43,          
-0.39,          
1.18,          
1,          
1,          
2.06,          
5.01,          
,          
,          
,          
,          
,          
